unit,description,sim correlation
0,Furniture,0.26949092745780945
1,Shelves,0.28441524505615234
2,The ground,-0.01257561706006527
3,People and tis,0.03635655716061592
4,Buildings,0.009514490142464638
5,Containers,0.10637953132390976
6,Volcanoes and mountains,0.1820508986711502
7,Grass,0.07375332713127136
8,Plants and flowers,0.47901153564453125
9,Green objects,0.16495835781097412
10,Volcanoes and eruptions,0.17154014110565186
11,People,0.2124921828508377
12,Buildings,0.049272727221250534
13,Rock formations,0.14960606396198273
14,Vertical lines,-0.015112290158867836
15,Babies and white objects,0.0712938904762268
16,Diagonal lines,0.04816415160894394
17,Chairs,0.14213097095489502
18,Mountains and valleys,0.25289443135261536
19,Food,0.19342346489429474
20,Buildings,0.0784827172756195
21,Buildings,0.21090297400951385
22,Bridges and bridges,0.23480434715747833
23,Rectangular objects,0.015961293131113052
24,Arches,0.08333074301481247
25,Wooden doorways,0.2696899473667145
26,Arches,0.2669694125652313
27,"People, water, boat",0.05825439468026161
28,Buildings,0.007527682464569807
29,Buildings,0.23168371617794037
30,Vertical lines,-0.013721389696002007
31,Black and white colored objects,0.050248172134160995
32,Red objects,0.27656611800193787
33,Mountains and valleys,0.20883578062057495
34,Furniture,0.2483069896697998
35,Green grass,0.12810054421424866
36,Water tower,0.04006478562951088
37,Faces of people,0.04466564208269119
38,Planes and flags,0.16076995432376862
39,Pools,0.09615693241357803
40,Windows and screens,-0.05474237725138664
41,People eating food,0.063797727227211
42,Beds,0.46597984433174133
43,People and vehicles,0.0690944641828537
44,Nature,-0.02120162919163704
45,Buildings,0.1581493616104126
46,Diagonal lines,0.05519052594900131
47,The ground,0.12339285761117935
48,Sink in a bedroom,0.14661899209022522
49,People,0.0722673162817955
50,Arches,-0.0472111850976944
51,Furniture,0.17872537672519684
52,Flowers and trees,0.3251207768917084
53,Stairs,0.07646124809980392
54,Windows and people,0.17494960129261017
55,Stone buildings,0.2605828046798706
56,Signs,0.04302343353629112
57,The ground,0.06822066754102707
58,Red telephone booths,0.20525850355625153
59,Vehicles and planes,0.3463309407234192
60,Furniture,0.1091158390045166
61,Arches and rock formations,0.33821675181388855
62,Green grass,0.3326868712902069
63,Mma fighters,0.3026881217956543
64,Green colored objects,-0.009924806654453278
65,Buildings,0.04187241196632385
66,Windows,-0.05228547006845474
67,Green grass,0.08707178384065628
68,People,0.21229583024978638
69,Red telephone booths,0.20908570289611816
70,Pink colored objects,0.10038155317306519
71,Buildings,0.11385952681303024
72,Nature,0.017252778634428978
73,"Animals, smoke and smoke",0.16347064077854156
74,Buildings,0.150544673204422
75,Cages and fences,0.3373495042324066
76,Circular objects,0.0922091007232666
77,Water towers,0.16012679040431976
78,Trees,0.25239577889442444
79,Shelving,0.17016085982322693
80,Water towers,0.20850147306919098
81,Buildings,-0.026455039158463478
82,Objects with vertical lines,0.0025653548073023558
83,Tables and chairs,0.15118393301963806
84,Bridges,0.07691572606563568
85,Buildings,0.18630434572696686
86,People,0.02499179169535637
87,Roads,0.26527729630470276
88,Splashes of water fountains,0.44748106598854065
89,Mountain ranges and water,0.3159885108470917
90,Vertical lines,0.046247463673353195
91,The ground,0.2342105656862259
92,Arches,0.2123052328824997
93,The ground,0.09225526452064514
94,Green grass,0.12036558240652084
95,"Person, food",0.2360389083623886
96,People,0.056672874838113785
97,Red and white colored objects,0.0343676432967186
98,Arched entry way,0.09326533228158951
99,Arches,0.3533633351325989
100,People,0.021606244146823883
101,The sides of objects,0.10284235328435898
102,Windows,0.04833251237869263
103,Vertical lines,0.0005254446296021342
104,Water,0.46841850876808167
105,Cliffs and mountains,0.1632552146911621
106,"People, animals",0.13828854262828827
107,Red and white colored objects,0.21077942848205566
108,Water,0.08898606896400452
109,Areas on the sides of items,0.06368347257375717
110,Plants,0.25879424810409546
111,Green grass,0.17345622181892395
112,Furniture,0.19405372440814972
113,Diagonal lines,0.022448021918535233
114,Vehicles and planes,0.3982242941856384
115,Aquatic life,0.3303568959236145
116,Trees,0.18564972281455994
117,The ceiling,0.13069608807563782
118,Tall buildings,0.26515093445777893
119,Walkways,0.2712559700012207
120,Red objects,0.036591511219739914
121,Trees,0.30681511759757996
122,The ground,0.13689392805099487
123,Signs,0.30753645300865173
124,A table,0.3407953381538391
125,Containers,0.031286198645830154
