unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
24,0.260305321,3.5275283,shoes,2.9230793,baggy,2.1577508,berth,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.488597572,0.2644843161106109,0.1021096110343933,0.08418941497802734
25,0.417489581,6.484378,wheelchair,5.102836,chair,4.1951017,bike,3.4559894,attire,2.7448232,passing,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.393181145,0.4528281092643738,0.1443329453468322,0.1426120400428772
26,0.421429399,4.1000304,evening-wear,3.7636397,ground beetle,2.8965895,coraciiform bird,2.823066,hummingbird,1.7883713,tench,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.381631613,0.4500853419303894,0.0527334809303283,0.03278541564941406
27,0.409857636,6.426193,calcification,4.301712,length,3.8755505,sword,3.480092,domestic cat,2.1362896,Scottish Deerhound,1.5296323,bridge,1.3643275,tail,0.0,0,0.0,0,0,0,0.346260399,0.3569222688674927,0.0449190139770507,0.01721012592315674
28,0.471682459,4.4234037,cage,3.4531744,tatami,2.994817,guitar,2.4790864,corgi,2.020606,dingo,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.368112415,0.4121326804161072,0.0694513916969299,0.05087137222290039
29,0.38657159,2.4950855,wheel,2.024837,safe,1.6307073,grey fox,1.5438356,Norwegian Elkhound,1.2774283,snail,0.8721705,mammal,0.0,0,0.0,0,0.0,0,0,0,0.296484262,0.3157743215560913,0.0358185172080993,0.014872550964355469
30,0.327235857,3.0532613,shawl,2.063407,skirt,1.4580809,Tibetan Mastiff,1.2593436,lampshade,1.1580253,shepherd dog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.36790055,0.3381935656070709,0.0840622782707214,0.08051031827926636
31,0.364553033,2.9493983,whistle,2.621123,optical instrument,2.1419168,safe,1.7463961,pan flute,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.387172133,0.2246740907430648,0.0113910436630249,0.004805207252502441
32,0.362415747,3.61576,vase,1.8940084,pillar,1.8854055,artifact,1.7020848,American bullfrog,1.5010974,mallet,1.2763032,thimble,0.0,0,0.0,0,0.0,0,0,0,0.387980193,0.2732153832912445,0.0352278351783752,0.00895678997039795
33,0.448684585,3.656904,relief,3.5615897,brass memorial plaque,2.6124082,artichoke,2.5921497,great ape,2.4993742,Pickelhaube,2.28725,armour,0.0,0,0.0,0,0.0,0,0,0,0.364248663,0.4433439671993255,0.0778759717941284,0.06571000814437866
34,0.518901577,10.941885,river,3.9818559,zoo,3.2211185,snorkel,2.1492298,primate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.615795076,0.4773491024971008,0.1259145140647888,0.11488878726959229
35,0.412148921,5.413642,cymbal,2.837446,dromedary,2.373607,soft-finned fish,1.9100553,bell,1.8390366,pot,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.36550808,0.3455092906951904,0.0679841041564941,0.043675243854522705
36,0.424405957,6.3756895,"lake, artificial",3.036144,flatboat,2.2884305,tub,2.2780764,berth,2.1122928,grill,1.924086,mobile home,0.0,0,0.0,0,0.0,0,0,0,0.375163913,0.3520116508007049,0.088711142539978,0.08120536804199219
37,0.413052978,3.476947,abaya,3.2703366,purse,2.9991848,raiment,2.5391831,Weimaraner,2.0309508,Rhodesian Ridgeback,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.373160481,0.373490571975708,0.1041960716247558,0.10086417198181152
38,0.290726848,1.6376454,attire,1.1998235,standing,1.0501966,baggie,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.299806625,0.2647169828414917,0.040207028388977,0.04143178462982178
39,0.576128143,12.639774,feline,3.3818493,Basset Hound,3.0693147,spaniel,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.370845079,0.603702962398529,0.1541082859039306,0.14857757091522217
40,0.394506147,4.108968,convertible,3.1133227,pickup,2.6044507,teapot,2.1575916,coffee mug,2.0186205,limo,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.353316873,0.3600622415542602,0.0484758615493774,0.03792452812194824
41,0.348514824,4.5019584,desertand,3.5435104,tile roof,2.4820466,baseball,2.2872667,erosion,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.448227882,0.2832401394844055,0.0463690757751464,0.03592580556869507
42,0.345693587,3.6494243,creek,2.2066522,habitat,1.9024321,cliff,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.369131029,0.3316306173801422,0.063114047050476,0.06017941236495972
43,0.372779282,2.8404512,artifact,1.2975365,beak,1.203329,primate,0.8538759,leptocephalus,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.280893534,0.3025136590003967,0.0611091256141662,0.041106998920440674
44,0.436485848,4.026624,shoes,2.5399528,heel,1.8801612,armor,1.1405758,crocodilian reptile,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.286509573,0.414834588766098,0.0902079939842224,0.09140294790267944
45,0.548275576,6.792499,bedclothes,4.312977,sleeping,3.1412566,baby,2.664397,sleeping bag,1.5972819,lapdog,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.414251894,0.5582216382026672,0.1454977393150329,0.14037048816680908
46,0.363248034,3.211549,house,2.6019468,broccoli,2.4341624,Standard Poodle,2.0668948,printer,1.2534562,Irish Water Spaniel,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.4092924,0.3714884221553802,0.0445037484169006,0.03762108087539673
47,0.347290698,3.7180529,hanger,3.3689435,light,3.2719858,closet,2.5612667,parachute,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.485603958,0.300082802772522,0.0375719666481018,0.035550475120544434
48,0.327265461,2.745284,cradle,2.5879266,mountain bike,2.401416,split-rail fence,2.206888,cabbage,0.86978674,arachnid,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.414564073,0.2838998734951019,0.0309120416641235,0.019246280193328857
49,0.500662956,5.4933734,scanner,3.4563897,stereo,2.7995634,slot machine,2.7182631,ape,2.505413,payphone,2.1178558,Cocker Spaniel,0.0,0,0.0,0,0.0,0,0,0,0.385815799,0.4571390151977539,0.1036128997802734,0.09383505582809448
50,0.437265756,2.2543993,elephant,2.0236757,chug,1.3825706,reptile,1.1181353,weasel,1.0105684,pup,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.34657234,0.3949135541915893,0.096428096294403,0.07216775417327881
51,0.26758701,2.291118,handcart,1.9772424,infant,1.973464,chameleon,1.7009803,drum,0.8298102,old world monkey,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.424118966,0.2692157924175262,0.0444373488426208,0.006356298923492432
52,0.431433234,2.722933,Japanese Chin,2.1704445,primate,1.9293271,zoologist,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.421934694,0.4022052586078644,0.1095168590545654,0.09499508142471313
53,0.380523129,3.5971544,Shih Tzu,3.5817442,dial,3.2719889,timepiece,0.7159266,primate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.428386599,0.4178513586521148,0.0576457977294921,0.044637203216552734
54,0.397045451,5.6404505,ping-pong ball,3.081941,pool table,2.7067614,lotion,2.084464,Old English Sheepdog,1.996521,acorn,1.7179484,poodle,0.0,0,0.0,0,0.0,0,0,0,0.447660029,0.3326177597045898,-0.0119729042053222,-0.01732945442199707
55,0.328565266,4.666875,baby bib,1.778983,guillotine,1.6391941,bald eagle,1.3363646,magpie,0.9577724,fowl,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.381459206,0.2984043061733246,0.0085959434509277,0.0008872151374816895
56,0.468058897,3.5172083,dromedary,3.2656,dessert,3.1785488,bun,2.6213312,bread,2.2216706,koala,1.9782622,earth star fungus,0.0,0,0.0,0,0.0,0,0,0,0.299553007,0.4138278067111969,0.0906513929367065,0.06213575601577759
57,0.305259502,2.725656,Polaroid camera,2.721932,optical instrument,2.110081,gadget,2.0894644,flute,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.372925162,0.3146049678325653,0.025653064250946,0.015427231788635254
58,0.557313368,5.158459,shepherd dog,4.820711,sport,2.716851,slide,1.9519005,Flat-Coated Retriever,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.365906328,0.545894980430603,0.1324304342269897,0.12119030952453613
59,0.385869135,2.788303,jar,2.415176,batter,2.3828626,plate,2.3660836,water,2.3153448,vibrissae,1.8967338,crocodilian reptile,0.0,0,0.0,0,0.0,0,0,0,0.32462582,0.3120600581169128,0.0609910488128662,0.047077953815460205
60,0.409803481,2.9758196,lighting,2.0310616,Golden Retriever,1.794045,husky,1.7615097,accompanist,1.6103456,shepherd dog,1.3327253,Saluki,0.0,0,0.0,0,0.0,0,0,0,0.347821981,0.3864797949790954,0.0748903155326843,0.07316327095031738
61,0.409865212,3.8597522,bedrock,2.8888104,hot spring,2.2575388,cooking,1.2514467,aquatic mammal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.349294811,0.3661831319332123,0.0478129386901855,0.04637962579727173
62,0.468865814,3.5205963,cup,3.204816,lemur,2.8915076,Newfoundland dog,2.5512743,spitz,1.9746593,angora,1.32147,mammal,0.0,0,0.0,0,0.0,0,0,0,0.405796766,0.4367410242557525,0.0777433514595031,0.059457480907440186
63,0.442098885,4.2834826,coffee,2.3996086,retriever,2.3531911,bus,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.356774777,0.4150968194007873,0.0788270831108093,0.06915557384490967
64,0.298099292,2.7837334,canister,2.3456938,storage,1.8141155,butterfly,1.7186426,balaclava,1.4275358,harp,0.9703654,Rhodesian Ridgeback,0.0,0,0.0,0,0.0,0,0,0,0.293412864,0.3033541142940521,0.025183618068695,0.01919037103652954
65,0.599901171,6.7083097,savanna,6.3586507,lark,4.361984,wildlife,4.355452,banded,2.5920112,aquatic bird,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.601088166,0.5631144642829895,0.1845898628234863,0.15901577472686768
66,0.458559498,7.427018,comestible,5.5353084,library,1.8257003,mushroom,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.455641389,0.4433703124523163,0.0754562020301818,0.06774765253067017
67,0.40819785,6.1163573,storage,4.128873,shoe shop,2.2856865,chick,1.4572573,photocopier,1.3589844,ruddy turnstone,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.372799665,0.319398432970047,0.0583494305610656,0.04313814640045166
68,0.448516692,3.828563,espresso machine,3.4165623,reflex camera,2.8815389,equipment,2.766995,coffee mug,2.5762997,truck,2.3014572,drum,0.0,0,0.0,0,0.0,0,0,0,0.328971416,0.4305142164230346,0.0581582784652709,0.055971741676330566
69,0.369735853,3.791772,foodstuff,3.3574553,horse,2.0880127,baby,1.6100868,cello,1.5809962,lobster,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.3248173,0.3431150019168854,0.0520523786544799,0.04533809423446655
70,0.416670049,3.9590836,Basset Hound,2.7461076,wheel,2.132229,gong,2.0959291,wok,1.7844791,bighorn sheep,1.010995,mammal,0.0,0,0.0,0,0.0,0,0,0,0.40790838,0.3823132812976837,0.0761246681213378,0.06896883249282837
71,0.413599189,4.02356,chem,2.6278691,lotion,2.2987764,electronic device,1.99017,photocopier,1.2303721,Cocker Spaniel,0.7594642,primate,0.0,0,0.0,0,0.0,0,0,0,0.318409801,0.3473201394081116,0.0349805951118469,0.03057199716567993
72,0.310606967,3.011084,songbird,2.3711107,piano,1.8049726,typewriter,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.414290696,0.2758364677429199,0.0190633535385131,0.011031568050384521
73,0.38685098,7.237626,lime,2.9302053,bubble,2.4936867,tennis ball,1.1477574,goldfinch,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.413679332,0.2875394523143768,0.0546260476112365,0.03798466920852661
74,0.415961378,7.8118715,government,4.3426533,metro,3.3122373,barometer,2.8642235,timepiece,2.6479735,brown bear,1.9291815,dhole,0.0,0,0.0,0,0.0,0,0,0,0.489869714,0.3521096110343933,0.0554816722869873,0.04844403266906738
75,0.374528136,3.7635598,roll,2.2740076,solanaceous vegetable,1.9080846,burden,1.7136755,manatee,1.5069996,squash,1.3000188,Granny Smith apple,0.0,0,0.0,0,0.0,0,0,0,0.256415248,0.2977411150932312,0.0280162692070007,-0.010197758674621582
76,0.53847442,2.4048157,cobweb,2.0066588,spider,1.9191295,grey wolf,1.8850958,macrofauna,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.35563162,0.4978488683700561,0.1124963164329528,0.10103082656860352
77,0.440280543,5.754743,parade,5.5310802,show,1.8659594,woodwind,1.6911896,Afghan Hound,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.469866991,0.4292464852333069,0.0980837941169738,0.08731114864349365
78,0.39018664,4.715921,dumbbell,3.6593275,wheel,2.901355,spool,2.7085252,fan,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.344801903,0.3257409334182739,0.0300865173339843,0.002178192138671875
79,0.49418816,4.4551663,pumpkin,3.9214926,cook,3.3808587,pizza,2.907008,supper,1.387759,Miniature Schnauzer,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.424036115,0.4283886551856994,0.1184855699539184,0.1151856780052185
80,0.494505769,2.7629395,mousse,2.4718058,gadget,1.9072468,mitten,1.7795327,cup,1.3823464,supper,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.224085212,0.4119923412799835,0.088861346244812,0.0755300521850586
81,0.294739674,2.6441326,Christmas stocking,1.9544225,obelisk,1.9029601,standing,1.5562139,postbox,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.395644158,0.2864654958248138,0.0343865156173706,0.020747900009155273
82,0.586941984,7.2458997,river,6.0206656,aquatic bird,5.432958,paddle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.591031432,0.5473321080207825,0.1211198568344116,0.09152370691299438
83,0.308710764,2.6193883,Basset Hound,2.2829778,hen,1.6112801,camel,1.2748564,gyromitra,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.386963814,0.3139030039310455,0.0381862521171569,0.020613491535186768
84,0.433575134,5.1165824,pizza,3.8145008,hotdog,3.3006186,appliance,2.9554307,mechanical device,2.6793678,block plane,2.6141658,printer,0.0,0,0.0,0,0.0,0,0,0,0.418635398,0.3410949110984802,0.0740496516227722,0.04143989086151123
85,0.42659008,6.807966,evening-wear,4.608949,childs room,3.9906042,furnishing,3.7031405,pantry(scene),0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.560284436,0.388982206583023,0.085195779800415,0.07787549495697021
86,0.613382203,6.9120107,sea,4.5910606,boat,4.4377737,swim,3.0828056,Old English Sheepdog,3.0591393,aquatic mammal,1.6412493,terrier,0.0,0,0.0,0,0.0,0,0,0,0.401357532,0.5896438360214233,0.1951528787612915,0.18668508529663086
87,0.461543606,6.2266464,grassland,5.803231,mountain,3.1892614,even-toed ungulate,2.044554,bison,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.432593495,0.4521467089653015,0.1089230775833129,0.08308732509613037
88,0.517514633,7.5132494,tower,5.618777,eagle,4.8830485,coraciiform bird,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.528862298,0.4928983449935913,0.1133514046669006,0.101429283618927
89,0.464848486,3.3629339,wineglass,3.114106,grand piano,2.8956232,ostrich,2.5048773,wolf,2.4663088,sheep,2.4036067,wading bird,0.0,0,0.0,0,0.0,0,0,0,0.436227858,0.3970689475536346,0.0316894650459289,0.021624088287353516
90,0.352374095,3.1580634,cassette,3.106508,collection,2.9600735,upright piano,2.5077658,vending machine,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.409962982,0.3237409591674804,0.0388957858085632,0.03513145446777344
91,0.492696127,2.8096776,poodle,2.4363945,Chesapeake Bay Retriever,2.0560615,dromedary,1.5856652,accompanist,1.4345924,Lakeland Terrier,1.2313535,fowl,0.0,0,0.0,0,0.0,0,0,0,0.280781329,0.492269217967987,0.1032603979110717,0.09818345308303833
92,0.496200805,4.0733385,entertainment center,1.9471064,Cairn Terrier,1.8623291,Irish Terrier,1.7090927,Scottish Terrier,1.5632389,arachnid,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.400040716,0.4570158720016479,0.154427170753479,0.14447647333145142
93,0.445699916,3.730477,lotion,3.5877142,porcupine,3.2718034,mop,2.7994213,Komondor,2.3611007,cabbage,1.3193908,Cairn Terrier,0.0,0,0.0,0,0.0,0,0,0,0.389742464,0.374084323644638,0.075900137424469,0.05768585205078125
94,0.485239324,3.5816453,infancy,3.4642916,tradition,1.8701682,guard,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.289658517,0.4322956800460815,0.133833646774292,0.1191059947013855
95,0.470875882,3.5446627,bird,2.085213,ship,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.478762865,0.4309962391853332,0.096538245677948,0.08271342515945435
96,0.405209111,3.4186819,red wine,3.375583,dessert,3.2711225,beer bottle,2.5700228,glass,2.2443619,Newfoundland dog,1.8256053,Schipperke,1.2476197,mink,0.0,0,0.0,0,0,0,0.422568083,0.3650329411029815,0.0963670015335083,0.08562719821929932
97,0.401209937,4.7739024,screw,3.5239584,weapon,3.4721863,mosque,3.1824968,corkscrew,2.707261,oboe,2.020069,antelope,1.1173065,lizard,0.0,0,0.0,0,0,0,0.424795389,0.3591372668743133,0.0720602869987487,0.034394681453704834
98,0.3682536,5.650339,t-shirt,1.8732404,abaya,1.2497735,water tower,0.97722787,Curly-coated Retriever,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.377529502,0.3178369402885437,0.0546019673347473,0.08187854290008545
99,0.409545571,2.7429128,hippopotamus,2.4431133,water buffalo,2.0307367,summer squash,1.4350684,primate,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.421003282,0.3588656783103943,0.0723291635513305,0.05528402328491211
100,0.447531581,3.5798934,mousse,3.4793246,household,3.441068,supper,1.2854675,poodle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.288653046,0.4226889610290527,0.0961340069770813,0.08738261461257935
101,0.33292911,3.0314684,bell or wind chime,2.0887084,cricket insect,1.9078102,teapot,1.8291491,pail,1.1379994,schnauzer,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.407380164,0.2718451917171478,0.0355002284049987,0.003060281276702881
102,0.439800239,3.7008636,crossword,3.2343252,army,2.8883212,dust jacket,2.1471312,boa constrictor,1.9820346,snow leopard,1.7990977,Saharan horned viper,1.4849244,half-track,0.0,0,0.0,0,0,0,0.391214937,0.4320444762706756,0.0785233378410339,0.06774967908859253
103,0.554194517,2.4883988,mammal,2.2616782,wildlife,1.8313019,wirehair,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.326905131,0.5300748348236084,0.1610693335533142,0.14857327938079834
104,0.403589104,4.266417,bench,3.1956193,artifact,3.1188915,hearth,2.463221,spindle,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.352139354,0.3975357413291931,0.0705102682113647,0.05406290292739868
105,0.484702834,2.6781793,public transport,2.43005,corgi,2.003096,sennenhunde,1.981586,collie,1.9745573,Old English Sheepdog,1.3885946,Miniature Schnauzer,1.0760678,guenon,0.0,0,0.0,0,0,0,0.352945298,0.4165804088115692,0.1021820902824401,0.07568401098251343
106,0.375931923,3.7917142,bikini,3.7284305,thrust,2.6191816,banana,2.2798793,shoes,1.9388762,howitzer,1.7540936,mortar and pestle,0.0,0,0.0,0,0.0,0,0,0,0.374039978,0.3188773393630981,0.0480289459228515,0.04357004165649414
107,0.433338734,2.7202458,Old English Sheepdog,2.1027966,Samoyed,1.9732275,bald eagle,1.9013604,recreational vehicle,1.8680755,West Highland White Terrier,1.3622061,guenon,0.0,0,0.0,0,0.0,0,0,0,0.361763746,0.3496143519878387,0.0691902637481689,0.044080257415771484
108,0.533840346,4.3238997,locomotive,2.3761315,percoid fish,2.2892616,fungus,2.0382328,invertebrate,1.9308795,gland,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.383205622,0.5240450501441956,0.123646855354309,0.13268518447875977
109,0.402113173,2.5495868,motorcar,2.4464493,Komodo dragon,2.264602,tusker,1.7835519,Lhasa Apso,1.5942295,Great Dane,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.364964515,0.3575842678546905,0.089576780796051,0.0662074089050293
110,0.49690139,6.823844,locker,3.9834461,printer,3.776927,espresso machine,3.1997197,payphone,2.3168929,birdhouse,1.803973,piano,0.0,0,0.0,0,0.0,0,0,0,0.444075912,0.3975473940372467,0.0535343885421752,0.03658640384674072
111,0.399867403,3.8104694,even-toed ungulate,3.7502234,aircraft,2.8423982,ram (adult male sheep),1.855655,ambystomid,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.397293478,0.3963667452335357,0.0509147644042968,0.025821566581726074
